# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 12 09:57:35 2014
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period (val)
# COLUMN pl_orbpererr1:  Orbital Period (upper unc)
# COLUMN pl_orbpererr2:  Orbital Period (lower unc)
# COLUMN pl_orbperlim:   Orbital Period (limit flag)
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis (val)
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis (upper unc)
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis (lower unc)
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis (limit flag)
# COLUMN pl_orbeccen:    Eccentricity (val)
# COLUMN pl_orbeccenerr1: Eccentricity (upper unc)
# COLUMN pl_orbeccenerr2: Eccentricity (lower unc)
# COLUMN pl_orbeccenlim: Eccentricity (limit flag)
# COLUMN pl_orbincl:     Inclination (val)
# COLUMN pl_orbinclerr1: Inclination (upper unc)
# COLUMN pl_orbinclerr2: Inclination (lower unc)
# COLUMN pl_orbincllim:  Inclination (limit flag)
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN pl_radj:        Planet Radius (val)
# COLUMN pl_radjerr1:    Planet Radius (upper unc)
# COLUMN pl_radjerr2:    Planet Radius (lower unc)
# COLUMN pl_radjlim:     Planet Radius (limit flag)
# COLUMN pl_dens:        Planet Density (val)
# COLUMN pl_denserr1:    Planet Density (upper unc)
# COLUMN pl_denserr2:    Planet Density (lower unc)
# COLUMN pl_denslim:     Planet Density (limit flag)
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN st_vj:          V-band (val)
# COLUMN st_vjerr:       V-band (unc)
# COLUMN st_vjlim:       V-band (limit flag)
# COLUMN st_vjblend:     V-band (blend flag)
# COLUMN st_teff:        Effective Temperature (val)
# COLUMN st_tefferr:     Effective Temperature (unc)
# COLUMN st_tefflim:     Effective Temperature (limit flag)
# COLUMN st_teffblend:   Effective Temperature (blend flag)
# COLUMN st_mass:        Stellar Mass (val)
# COLUMN st_masserr:     Stellar Mass (unc)
# COLUMN st_masslim:     Stellar Mass (limit flag)
# COLUMN st_massblend:   Stellar Mass (blend flag)
# COLUMN st_rad:         Stellar Radius (val)
# COLUMN st_raderr:      Stellar Radius (unc)
# COLUMN st_radlim:      Stellar Radius (limit flag)
# COLUMN st_radblend:    Stellar Radius (blend flag)
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN st_sp:          Spectral Type (val)
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type (unc)
# COLUMN st_splim:       Spectral Type (limit flag)
# COLUMN st_spblend:     Spectral Type (blend flag)
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend
255,HD 16760,b,Radial Velocity,1,465.10000000,2.30000000,-2.30000000,0,1.130000,0.030000,-0.030000,0,0.067000,0.100000,-0.100000,0,,,,,,,,,14.30000,0.90000,-0.90000,0,,,,,,,,,0,0,02h42m21.31s,40.588810,+38d37m07.2s,38.618668,50.18,6.20,-8.24,0,8.765,0.015,0,0,,,,,,,,,,,,,HD 16760,HIP 12638,4.50,G5,,0,0
256,HD 17092,b,Radial Velocity,1,359.90000000,2.40000000,-2.40000000,0,1.290000,0.050000,-0.050000,0,0.166000,0.052000,-0.052000,0,,,,,,,,,4.60000,0.30000,-0.30000,0,,,,,,,,,0,0,02h46m22.12s,41.592153,+49d39m11.1s,49.653075,,,,,7.732,0.011,0,0,,,,,,,,,,,,,HD 17092,,5.00,K0,,0,0
257,HD 17156,b,Radial Velocity,1,21.21663000,0.00045000,-0.00045000,0,0.161400,0.002200,-0.002200,0,0.681900,0.004400,-0.004400,0,86.890,0.110,-0.110,0,3.19100,0.03300,-0.03300,0,,,,,1.087,0.007,-0.007,0,3.78000,0.06000,-0.06000,0,0,0,02h49m44.49s,42.435364,+71d45m11.6s,71.753235,78.25,5.15,-5.93,0,8.162,0.012,0,0,6100.00,75.00,0,,1.27,0.02,0,,1.50,0.01,0,,HD 17156,HIP 13192,4.50,G5,,0,0
258,HD 18742,b,Radial Velocity,1,772.00000000,11.00000000,-11.00000000,0,1.920000,0.050000,-0.050000,0,0.120000,,,0,,,,,,,,,2.70000,0.30000,-0.30000,0,,,,,,,,,0,0,03h00m10.66s,45.044407,-20d48m09.4s,-20.802603,127.88,15.27,-20.05,0,7.814,0.012,0,0,,,,,,,,,,,,,HD 18742,HIP 13993,4.90,G8/K0 IV,,0,0
259,HD 19994,b,Radial Velocity,1,466.20000000,1.70000000,-1.70000000,0,1.305000,0.016000,-0.016000,0,0.063000,0.062000,-0.062000,0,,,,,,,,,1.37000,0.12000,-0.12000,0,,,,,,,,,0,0,03h12m46.44s,48.193485,-01d11m46.0s,-1.196101,22.38,0.37,-0.38,0,5.060,,0,1,,,,,,,,,,,,,HD 19994,HIP 14954,4.00,G0 V,,0,1
260,HD 20003,b,Radial Velocity,2,11.84900000,,,,0.097400,,,,0.400000,,,,,,,,,,,,0.03780,,,0,,,,,,,,,0,0,03h07m37.92s,46.907997,-72d19m18.8s,-72.321892,43.08,1.37,-1.46,0,8.367,0.013,0,0,,,,,,,,,,,,,HD 20003,HIP 14530,4.80,G8 V,,0,0
261,HD 20003,c,Radial Velocity,2,33.82300000,,,,0.196100,,,,0.160000,,,,,,,,,,,,0.04220,,,0,,,,,,,,,0,0,03h07m37.92s,46.907997,-72d19m18.8s,-72.321892,43.08,1.37,-1.46,0,8.367,0.013,0,0,,,,,,,,,,,,,HD 20003,HIP 14530,4.80,G8 V,,0,0
262,HD 20367,b,Radial Velocity,1,500.00000000,6.00000000,-6.00000000,0,1.250000,,,0,0.230000,,,0,,,,,,,,,1.07000,,,0,,,,,,,,,0,0,03h17m40.05s,49.416859,+31d07m37.4s,31.127048,27.13,0.77,-0.82,0,6.399,0.010,0,0,,,,,,,,,,,,,HD 20367,HIP 15323,4.00,G0,,0,0
263,HD 20794,b,Radial Velocity,3,18.31500000,0.00800000,-0.00800000,0,0.120700,0.002000,-0.002000,0,0.000000,,,0,,,,,,,,,0.00850,0.00094,-0.00094,0,,,,,,,,,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.06,0.02,-0.02,0,4.270,,0,0,,,,,,,,,,,,,HD 20794,HIP 15510,4.80,G8 III,,0,0
264,HD 20794,c,Radial Velocity,3,40.11400000,0.05300000,-0.05300000,0,0.203600,0.003400,-0.003400,0,0.000000,,,0,,,,,,,,,0.00755,0.00126,-0.00126,0,,,,,,,,,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.06,0.02,-0.02,0,4.270,,0,0,,,,,,,,,,,,,HD 20794,HIP 15510,4.80,G8 III,,0,0
265,HD 20794,d,Radial Velocity,3,90.30900000,0.18400000,-0.18400000,0,0.349900,0.005900,-0.005900,0,0.000000,,,0,,,,,,,,,0.01510,0.00189,-0.00189,0,,,,,,,,,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.06,0.02,-0.02,0,4.270,,0,0,,,,,,,,,,,,,HD 20794,HIP 15510,4.80,G8 III,,0,0
266,HD 20781,b,Radial Velocity,2,29.15000000,,,,0.169000,,,,0.110000,,,,,,,,,,,,0.03790,,,0,,,,,,,,,0,0,03h20m02.94s,50.012260,-28d47m01.8s,-28.783834,35.89,1.52,-1.66,0,8.443,0.012,0,0,,,,,,,,,,,,,HD 20781,HIP 15526,4.95,G9.5 V,,0,0
267,HD 20781,c,Radial Velocity,2,85.13100000,,,,0.345600,,,,0.280000,,,,,,,,,,,,0.04960,,,0,,,,,,,,,0,0,03h20m02.94s,50.012260,-28d47m01.8s,-28.783834,35.89,1.52,-1.66,0,8.443,0.012,0,0,,,,,,,,,,,,,HD 20781,HIP 15526,4.95,G9.5 V,,0,0
268,HD 20782,b,Radial Velocity,1,591.90000000,2.80000000,-2.80000000,0,1.381000,0.005000,-0.005000,0,0.970000,0.010000,-0.010000,0,,,,,,,,,1.90000,0.50000,-0.50000,0,,,,,,,,,0,0,03h20m03.58s,50.014908,-28d51m14.7s,-28.854071,36.02,1.11,-1.18,0,7.367,0.010,0,0,,,,,,,,,,,,,HD 20782,HIP 15527,4.30,G3 V,,0,0
269,HD 20868,b,Radial Velocity,1,380.85000000,0.09000000,-0.09000000,0,0.947000,0.012000,-0.012000,0,0.750000,0.002000,-0.002000,0,,,,,,,,,1.99000,0.05000,-0.05000,0,,,,,,,,,0,0,03h20m42.69s,50.177895,-33d43m48.4s,-33.730103,44.50,2.68,-3.05,0,9.928,0.026,0,0,,,,,,,,,,,,,HD 20868,HIP 15578,5.35,K3/4 III/V,,0,0
270,HD 21693,b,Radial Velocity,2,22.65600000,,,,0.148400,,,,0.260000,,,,,,,,,,,,0.03220,,,0,,,,,,,,,0,0,03h27m12.48s,51.802010,-58d19m25.3s,-58.323681,32.31,0.73,-0.76,0,7.940,0.011,0,0,,,,,,,,,,,,,HD 21693,HIP 16085,4.80,G8 V,,0,0
271,HD 21693,c,Radial Velocity,2,53.88100000,,,,0.264400,,,,0.240000,,,,,,,,,,,,0.06472,,,0,,,,,,,,,0,0,03h27m12.48s,51.802010,-58d19m25.3s,-58.323681,32.31,0.73,-0.76,0,7.940,0.011,0,0,,,,,,,,,,,,,HD 21693,HIP 16085,4.80,G8 V,,0,0
272,HD 23127,b,Radial Velocity,1,1214.00000000,9.00000000,-9.00000000,0,2.400000,0.300000,-0.300000,0,0.440000,0.070000,-0.070000,0,,,,,,,,,1.50000,0.20000,-0.20000,0,,,,,,,,,0,0,03h39m23.64s,54.848495,-60d04m40.2s,-60.077843,89.13,5.65,-6.48,0,8.550,0.014,0,0,,,,,,,,,,,,,HD 23127,HIP 17054,4.20,G2 V,,0,0
273,HD 23079,b,Radial Velocity,1,738.45900000,,,0,1.650000,,,0,0.100000,,,0,,,,,,,,,2.61000,,,0,,,,,,,,,0,0,03h39m43.09s,54.929562,-52d54m57.0s,-52.915836,34.60,0.66,-0.68,0,7.105,0.010,0,0,,,,,,,,,,,,,HD 23079,HIP 17096,3.90,F8/G0 V,,0,0
274,HD 22781,b,Radial Velocity,1,528.07000000,0.14000000,-0.14000000,0,1.167000,0.039000,-0.039000,0,0.819100,0.002300,-0.002300,0,,,,,,,,,13.65000,0.97000,-0.97000,0,,,,,,,,,0,0,03h40m49.53s,55.206356,+31d49m34.6s,31.826290,31.79,1.33,-1.45,0,8.766,0.016,0,0,,,,,,,,,,,,,HD 22781,HIP 17187,5.00,K0,,0,0
275,HD 23596,b,Radial Velocity,1,1561.00000000,12.00000000,-12.00000000,0,2.772000,0.062000,-0.062000,0,0.266000,0.014000,-0.014000,0,,,,,,,,,7.71000,0.39000,-0.39000,0,,,,,,,,,0,0,03h48m00.37s,57.001556,+40d31m50.3s,40.530636,51.97,2.20,-2.40,0,7.244,0.011,0,0,,,,,,,,,,,,,HD 23596,HIP 17747,3.80,F8,,0,0
276,HD 24040,b,Radial Velocity,1,3668.00000000,169.00000000,-171.00000000,0,4.920000,0.380000,-0.380000,0,0.040000,0.070000,-0.060000,0,,,,,,,,,4.01000,0.49000,-0.49000,0,,,,,,,,,0,0,03h50m22.97s,57.595699,+17d28m34.9s,17.476366,46.51,2.13,-2.34,0,7.493,0.011,0,0,5853.00,44.00,0,0,1.18,,0,0,,,,,HD 24040,HIP 17960,4.00,G0 V,,0,0
277,HD 25171,b,Radial Velocity,1,1845.00000000,167.00000000,-167.00000000,0,3.020000,0.160000,-0.160000,0,0.080000,0.060000,-0.060000,0,,,,,,,,,0.95000,0.10000,-0.10000,0,,,,,,,,,0,0,03h55m49.44s,58.956001,-65d11m12.0s,-65.186676,56.05,1.82,-1.95,0,7.778,0.011,0,0,,,,,,,,,,,,,HD 25171,HIP 18387,3.80,F8 V,,0,0
278,HD 27442,b,Radial Velocity,1,423.84100000,,,0,1.180000,,,0,0.070000,,,0,,,,,,,,,1.28000,,,0,,,,,,,,,0,0,04h16m29.03s,64.120956,-59d18m07.8s,-59.302155,18.24,0.17,-0.17,0,4.440,,0,0,,,,,,,,,,,,,HD 27442,HIP 19921,5.15,K1/2 III,,0,0
279,HD 27631,b,Radial Velocity,1,2208.00000000,66.00000000,-66.00000000,0,3.250000,0.070000,-0.070000,0,0.120000,0.060000,-0.060000,0,,,,,,,,,1.45000,0.14000,-0.14000,0,,,,,,,,,0,0,04h19m45.47s,64.939461,-41d57m37.0s,-41.960266,44.54,1.50,-1.60,0,8.243,0.012,0,0,5737.00,36.00,0,0,0.94,0.04,0,0,1.00,,0,0,HD 27631,HIP 20199,4.30,G3 IV-V,,0,0
280,HD 27894,b,Radial Velocity,1,17.99100000,0.00700000,-0.00700000,0,0.122000,,,0,0.049000,0.008000,-0.008000,0,,,,,,,,,0.62000,,,0,,,,,,,,,0,0,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835,42.37,1.57,-1.70,0,9.349,0.021,0,0,,,,,,,,,,,,,HD 27894,HIP 20277,5.20,K2 V,,0,0
281,HD 28254,b,Radial Velocity,1,1117.00000000,,,0,,,,,,,,,,,,,,,,,1.16000,,,0,,,,,,,,,0,0,04h24m50.71s,66.211273,-50d37m19.9s,-50.622192,56.18,1.95,-2.10,0,7.684,0.011,0,0,,,,,,,,,,,,,HD 28254,HIP 20606,4.50,G5 V,,0,1
282,HD 28185,b,Radial Velocity,1,385.90000000,0.60000000,-0.60000000,0,1.032000,0.019000,-0.019000,0,0.092000,0.019000,-0.019000,0,,,,,,,,,5.59000,0.33000,-0.33000,0,,,,,,,,,0,0,04h26m26.32s,66.609673,-10d33m03.0s,-10.550821,39.56,1.62,-1.76,0,7.810,0.011,0,0,,,,,,,,,,,,,HD 28185,HIP 20723,4.55,G5/6 V,,0,0
283,HD 28678,b,Radial Velocity,1,387.10000000,3.40000000,-3.40000000,0,1.250000,0.030000,-0.030000,0,0.168000,0.070000,-0.070000,0,,,,,,,,,1.70000,0.10000,-0.10000,0,,,,,,,,,0,0,04h31m25.45s,67.856056,+04d34m31.0s,4.575287,168.92,30.03,-46.60,0,8.440,0.019,0,0,,,,,,,,,,,,,HD 28678,HIP 21109,4.80,G8 IV,,0,0
284,HD 30177,b,Radial Velocity,1,2819.65400000,800.00000000,-800.00000000,0,3.860000,0.900000,-0.900000,0,0.300000,0.170000,-0.170000,0,,,,,,,,,9.17000,1.50000,-1.50000,0,,,,,,,,,0,0,04h41m54.37s,70.476555,-58d01m14.7s,-58.020756,54.71,2.21,-2.41,0,8.374,0.013,0,0,,,,,,,,,,,,,HD 30177,HIP 21850,4.80,G8 V,,0,0
285,HD 30562,b,Radial Velocity,1,1159.20000000,2.80000000,-2.80000000,0,2.315000,0.004000,-0.004000,0,0.778000,0.013000,-0.013000,0,,,,,,,,,1.37300,0.04700,-0.04700,0,,,,,,,,,0,0,04h48m36.38s,72.151604,-05d40m26.6s,-5.674045,26.50,0.61,-0.64,0,5.780,,0,0,5994.00,46.00,0,0,1.23,0.03,0,0,1.53,0.04,0,0,HD 30562,HIP 22336,3.80,F8 V,,0,0
286,HD 30856,b,Radial Velocity,1,912.00000000,41.00000000,-41.00000000,0,1.800000,0.200000,-0.200000,0,0.117000,,,0,,,,,,,,,1.80000,0.20000,-0.20000,0,,,,,,,,,0,0,04h50m17.86s,72.574425,-24d22m07.8s,-24.368839,121.07,11.78,-14.62,0,7.911,0.010,0,0,,,,,,,,,,,,,HD 30856,HIP 22491,5.00,K0 III,,0,0
287,HD 31253,b,Radial Velocity,1,466.00000000,3.00000000,-3.00000000,0,1.260000,0.006000,-0.006000,0,0.300000,0.200000,-0.200000,0,,,,,,,,,0.50000,0.07000,-0.07000,0,,,,,,,,,0,0,04h54m43.65s,73.681892,+12d21m07.9s,12.352201,53.82,3.06,-3.45,0,7.133,0.011,0,0,,,,,,,,,,,,,HD 31253,HIP 22826,3.80,F8,,0,0
288,HD 31527,b,Radial Velocity,3,16.54600000,,,,0.125300,,,,0.130000,,,,,,,,,,,,0.03630,,,0,,,,,,,,,0,0,04h55m38.38s,73.909927,-23d14m30.8s,-23.241880,38.01,1.15,-1.22,0,7.484,0.010,0,0,,,,,,,,,,,,,HD 31527,HIP 22905,4.20,G2 V,,0,0
289,HD 31527,c,Radial Velocity,3,51.28400000,,,,0.266500,,,,0.110000,,,,,,,,,,,,0.04980,,,0,,,,,,,,,0,0,04h55m38.38s,73.909927,-23d14m30.8s,-23.241880,38.01,1.15,-1.22,0,7.484,0.010,0,0,,,,,,,,,,,,,HD 31527,HIP 22905,4.20,G2 V,,0,0
290,HD 31527,d,Radial Velocity,3,274.49000000,,,,0.818100,,,,0.380000,,,,,,,,,,,,0.05190,,,0,,,,,,,,,0,0,04h55m38.38s,73.909927,-23d14m30.8s,-23.241880,38.01,1.15,-1.22,0,7.484,0.010,0,0,,,,,,,,,,,,,HD 31527,HIP 22905,4.20,G2 V,,0,0
291,HD 33142,b,Radial Velocity,1,326.60000000,3.90000000,-3.90000000,0,1.060000,0.030000,-0.030000,0,0.120000,,,0,,,,,,,,,1.30000,0.10000,-0.10000,0,,,,,,,,,0,0,05h07m35.54s,76.898087,-13d59m11.3s,-13.986480,136.80,15.73,-20.43,0,7.956,0.012,0,0,,,,,,,,,,,,,HD 33142,HIP 23844,5.00,K0 III,,0,0
292,HD 33283,b,Radial Velocity,1,18.17900000,0.00700000,-0.00700000,0,0.168000,,,0,0.480000,0.050000,-0.050000,0,,,,,,,,,0.33000,,,0,,,,,,,,,0,0,05h08m01.01s,77.004219,-26d47m50.9s,-26.797472,86.88,6.30,-7.37,0,8.051,0.011,0,0,,,,,,,,,,,,,HD 33283,HIP 23889,4.40,G3/5 V,,0,0
293,HD 32518,b,Radial Velocity,1,157.54000000,0.38000000,-0.38000000,0,0.590000,0.030000,-0.030000,0,0.010000,0.030000,-0.030000,0,,,,,,,,,3.04000,0.68000,-0.68000,0,,,,,,,,,0,0,05h09m36.72s,77.403000,+69d38m21.9s,69.639404,117.37,9.84,-11.83,0,6.421,0.010,0,0,4580.00,70.00,0,0,1.13,0.18,0,0,10.22,0.87,0,0,HD 32518,HIP 24003,5.10,K1 III,,0,0
294,HD 34445,b,Radial Velocity,1,1049.00000000,11.00000000,-11.00000000,0,2.070000,0.020000,-0.020000,0,0.270000,0.070000,-0.070000,0,,,,,,,,,0.79000,0.07000,-0.07000,0,,,,,,,,,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,2.03,-2.23,0,7.328,0.011,0,0,,,,,,,,,,,,,HD 34445,HIP 24681,4.00,G0,,0,0
295,HD 33564,b,Radial Velocity,1,388.00000000,3.00000000,-3.00000000,0,1.100000,,,0,0.340000,0.020000,-0.020000,0,,,,,,,,,9.10000,,,0,,,,,,,,,0,0,05h22m33.53s,80.639717,+79d13m52.1s,79.231148,20.98,0.23,-0.23,0,5.084,0.009,0,0,,,,,,,,,,,,,HD 33564,HIP 25110,3.70,F7 V,,0,0
296,HD 38283,b,Radial Velocity,1,363.20000000,1.60000000,-1.60000000,0,1.020000,0.070000,-0.070000,0,0.410000,0.160000,-0.160000,0,,,,,0.34000,0.02000,-0.02000,0,,,,,,,,,,,,,0,0,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341,37.78,0.78,-0.82,0,6.696,0.010,0,0,,,,,,,,,,,,,HD 38283,HIP 26380,4.05,G0/1 V,,0,0
297,HD 37124,b,Radial Velocity,3,154.46000000,0.36900000,-0.36900000,0,0.530000,,,0,0.055000,,,0,,,,,,,,,0.61000,,,0,,,,,,,,,0,0,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,1.22,-1.32,0,7.650,0.013,0,0,,,,,,,,,,,,,HD 37124,HIP 26381,4.00,G0,,0,0
298,HD 37124,c,Radial Velocity,3,2295.00000000,,,0,3.190000,0.180000,-0.180000,0,0.200000,,,0,,,,,,,,,0.68300,0.08800,-0.08800,0,,,,,,,,,0,0,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,1.22,-1.32,0,7.650,0.013,0,0,,,,,,,,,,,,,HD 37124,HIP 26381,4.00,G0,,0,0
299,HD 37124,d,Radial Velocity,3,843.60000000,,,0,1.640000,0.100000,-0.100000,0,0.140000,,,0,,,,,,,,,0.62400,0.06300,-0.06300,0,,,,,,,,,0,0,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,1.22,-1.32,0,7.650,0.013,0,0,,,,,,,,,,,,,HD 37124,HIP 26381,4.00,G0,,0,0
300,HD 39091,b,Radial Velocity,1,2063.81800000,,,0,3.290000,,,0,0.620000,,,0,,,,,,,,,10.35000,,,0,,,,,,,,,0,0,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.21,0.15,-0.15,0,5.650,,0,0,,,,,,,,,,,,,HD 39091,HIP 26394,4.10,G1 V,,0,0
301,HD 37605,b,Radial Velocity,2,55.00000000,0.10000000,-0.10000000,0,0.250000,,,0,0.677000,0.008500,-0.008500,0,,,,,,,,,2.30000,,,0,,,,,,,,,0,0,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,42.88,2.28,-2.55,0,8.661,0.016,0,0,5448.00,44.00,0,0,1.00,0.05,0,0,0.90,0.04,0,0,HD 37605,HIP 26664,5.00,K0 V,,0,0
302,HD 37605,c,Radial Velocity,2,2720.00000000,57.00000000,-57.00000000,0,3.814000,0.058000,-0.058000,0,0.013000,0.015000,-0.015000,0,,,,,,,,,3.36600,0.07200,-0.07200,0,,,,,,,,,0,0,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,42.88,2.28,-2.55,0,8.661,0.016,0,0,5448.00,44.00,0,0,1.00,0.05,0,0,0.90,0.04,0,0,HD 37605,HIP 26664,5.00,K0 V,,0,0
303,HD 39194,b,Radial Velocity,3,5.63630000,,,,0.051900,,,,0.200000,,,,,,,,,,,,0.01170,,,0,,,,,,,,,0,0,05h44m31.92s,86.132996,-70d08m36.9s,-70.143570,25.59,0.48,-0.50,0,8.075,,0,0,,,,,,,,,,,,,HD 39194,HIP 27080,4.80,G8 V,,0,0
304,HD 39194,c,Radial Velocity,3,14.02500000,,,,0.095400,,,,0.110000,,,,,,,,,,,,0.01870,,,0,,,,,,,,,0,0,05h44m31.92s,86.132996,-70d08m36.9s,-70.143570,25.59,0.48,-0.50,0,8.075,,0,0,,,,,,,,,,,,,HD 39194,HIP 27080,4.80,G8 V,,0,0
305,HD 39194,d,Radial Velocity,3,33.94100000,,,,0.172000,,,,0.200000,,,,,,,,,,,,0.01620,,,0,,,,,,,,,0,0,05h44m31.92s,86.132996,-70d08m36.9s,-70.143570,25.59,0.48,-0.50,0,8.075,,0,0,,,,,,,,,,,,,HD 39194,HIP 27080,4.80,G8 V,,0,0
306,HD 38529,b,Radial Velocity,2,14.30980000,0.00050000,-0.00050000,0,0.131000,0.002000,-0.002000,0,0.257000,0.015000,-0.015000,0,,,,,,,,,0.83900,0.03000,-0.03000,0,,,,,,,,,0,0,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.43,1.59,-1.72,0,5.950,,0,0,,,,,,,,,,,,,HD 38529,HIP 27253,4.80,G8 III/IV,,0,0
307,HD 38529,c,Radial Velocity,2,2140.20000000,5.70000000,-5.70000000,0,3.712000,0.048000,-0.048000,0,0.341000,0.005000,-0.005000,0,,,,,,,,,13.38000,0.39000,-0.39000,0,,,,,,,,,0,0,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.43,1.59,-1.72,0,5.950,,0,0,,,,,,,,,,,,,HD 38529,HIP 27253,4.80,G8 III/IV,,0,0
308,HD 38801,b,Radial Velocity,1,696.30000000,2.70000000,-2.70000000,0,1.700000,0.037000,-0.037000,0,0.000000,,,,,,,,,,,,10.70000,0.50000,-0.50000,0,,,,,,,,,0,0,05h47m59.18s,86.996567,-08d19m39.7s,-8.327700,99.40,14.66,-20.79,0,8.269,0.013,0,0,,,,,,,,,,,,,HD 38801,HIP 27384,4.80,G8 IV,,0,0
309,HD 38858,b,Radial Velocity,1,407.15000000,,,,1.037600,,,,0.270000,,,,,,,,,,,,0.09610,,,0,,,,,,,,,0,0,05h48m34.94s,87.145584,-04d05m40.7s,-4.094648,15.56,0.28,-0.29,0,5.970,,0,0,,,,,,,,,,,,,HD 38858,HIP 27435,4.30,G3 V,,0,0
310,HD 40307,b,Radial Velocity,6,4.31230000,0.00110000,-0.00120000,0,0.046800,0.002400,-0.002300,0,0.200000,0.140000,-0.160000,0,,,,,,,,,0.01260,0.00250,-0.00220,0,,,,,,,,,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.150,0.010,0,0,4956.00,50.00,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,5.25,K2.5 V,,0,0
311,HD 40307,c,Radial Velocity,6,9.61840000,0.00500000,-0.00490000,0,0.079900,0.004000,-0.004000,0,0.060000,0.110000,-0.060000,0,,,,,,,,,0.02080,0.00350,-0.00310,0,,,,,,,,,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.150,0.010,0,0,4956.00,50.00,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,5.25,K2.5 V,,0,0
312,HD 40307,d,Radial Velocity,6,20.43200000,0.02200000,-0.02400000,0,0.132100,0.006600,-0.006600,0,0.070000,0.110000,-0.070000,0,,,,,,,,,0.02990,0.00530,-0.00470,0,,,,,,,,,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.150,0.010,0,0,4956.00,50.00,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,5.25,K2.5 V,,0,0
